time,Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
0.0430,-5.902,6.103,10.886,17.244,13.016,18.626,34.773,24.476,13.998,2.614,-5.093,-28.939,-11.446,10.133,-5.751,0.246,23.728,-3.956,-5.924
0.0469,-11.970,9.272,15.022,21.777,12.339,23.045,41.171,27.793,20.588,-1.185,-7.225,-16.757,-14.299,6.846,-7.991,5.918,21.595,-2.031,-4.746
0.0508,-17.834,10.600,15.627,20.034,12.730,26.687,45.037,33.202,23.269,-2.713,-10.888,1.320,-18.717,0.383,-8.221,6.148,21.205,-6.186,-0.662
0.0547,-22.960,6.288,17.068,17.102,9.162,26.776,49.637,38.645,20.542,-3.094,-10.906,13.858,-22.244,-5.257,-6.528,5.610,18.241,-4.958,-2.859
0.0586,-22.581,7.642,16.634,14.111,3.592,27.612,52.915,40.854,21.180,-2.216,-8.246,27.273,-25.742,-11.882,-4.725,11.685,14.219,-3.607,-3.680
0.0625,-23.051,8.990,15.416,12.843,4.690,24.373,51.427,44.091,16.113,-1.622,-10.547,40.083,-26.039,-14.912,-2.845,17.832,9.984,-1.140,-4.389
0.0664,-23.481,8.941,14.715,11.959,3.158,25.436,47.747,44.698,12.072,2.624,-10.247,48.066,-25.807,-20.923,-1.090,25.331,5.908,0.867,1.142
0.0703,-18.884,8.612,11.618,12.117,8.798,20.777,39.592,42.026,5.283,2.448,-10.355,53.030,-23.218,-23.586,-0.008,33.293,5.718,1.410,6.055
0.0742,-16.042,9.794,7.843,9.404,8.574,18.263,34.222,36.226,-1.423,4.796,-5.465,55.299,-16.670,-28.127,-1.023,33.450,3.216,-0.439,8.707
0.0781,-12.749,6.688,0.660,5.067,13.972,16.857,27.002,28.987,-10.711,8.156,-1.542,54.891,-12.023,-25.852,-0.094,36.248,-1.205,-3.140,11.339
0.0820,-5.537,6.398,-4.111,0.129,12.451,11.385,17.300,24.266,-19.300,9.538,0.920,51.435,-10.650,-26.548,-3.950,35.421,-4.548,-5.615,10.533
0.0859,5.219,9.530,-4.958,-5.566,14.223,7.578,10.830,18.201,-27.656,12.131,4.577,45.477,-10.033,-24.691,-2.794,39.330,-5.668,-8.551,9.712
0.0898,12.471,9.592,-6.665,-5.466,14.617,5.234,1.536,10.837,-32.588,12.105,9.973,35.974,-5.909,-20.269,-5.027,41.814,-7.768,-9.777,8.904
0.0938,22.328,5.918,-9.337,-6.463,10.199,3.696,-6.513,4.031,-36.925,16.802,11.201,23.883,-2.837,-17.949,-5.518,41.254,-3.827,-6.465,7.847
0.0977,30.031,4.499,-14.226,-8.940,9.761,0.610,-11.411,-5.336,-37.056,17.519,14.447,15.493,-1.210,-15.560,-6.709,35.417,-5.592,-6.985,9.878
0.1016,30.117,1.876,-17.752,-13.061,6.120,-3.372,-18.168,-11.263,-38.401,22.038,19.245,3.388,2.865,-10.168,-9.968,24.641,-3.643,-7.178,8.208
0.1055,31.794,0.301,-20.258,-14.974,6.823,-3.064,-26.303,-19.764,-37.959,18.379,22.276,-6.592,1.132,-3.648,-10.768,15.771,-0.112,-4.165,7.078
0.1094,33.260,1.802,-18.371,-17.873,6.883,1.975,-31.223,-19.354,-35.591,14.557,24.863,-15.919,-1.687,3.779,-17.711,6.923,3.963,-3.573,5.659
0.1133,32.622,7.300,-11.466,-14.974,3.948,2.310,-35.279,-20.749,-30.750,9.164,21.564,-23.603,-1.927,11.903,-20.916,-0.809,6.847,-0.875,2.309
0.1172,30.617,7.777,-7.180,-8.759,0.646,5.379,-32.618,-20.691,-23.802,2.716,19.327,-28.523,-2.154,16.487,-28.318,-5.589,9.020,6.357,-3.526
0.1211,25.869,5.909,-2.718,-5.349,-3.927,6.967,-33.092,-18.286,-16.283,-0.550,15.362,-29.785,-3.827,20.375,-29.989,-11.889,12.415,11.594,-7.562
0.1250,21.196,7.206,-0.437,-0.317,-9.174,8.017,-32.085,-18.556,-5.995,-4.293,8.561,-31.562,-1.786,26.018,-32.132,-18.028,14.210,18.566,-12.347
0.1289,10.812,6.719,3.080,5.435,-16.990,9.322,-29.566,-17.815,-0.543,-5.559,4.894,-28.076,-5.911,29.136,-29.084,-23.211,17.708,19.446,-14.982
0.1328,4.572,6.021,5.656,9.889,-23.582,14.256,-25.058,-14.611,7.877,-9.944,-2.846,-22.153,-8.451,30.652,-24.735,-22.294,20.313,19.089,-18.462
0.1367,-5.961,3.747,8.203,15.071,-28.614,14.686,-21.509,-7.630,14.802,-14.333,-5.818,-14.130,-11.549,26.386,-21.562,-22.182,21.436,17.970,-17.959
0.1406,-13.970,3.825,12.920,20.767,-32.834,15.321,-14.440,-4.062,21.060,-21.604,-8.486,-8.277,-11.507,19.110,-20.707,-21.411,19.374,20.402,-16.678
0.1445,-23.220,2.749,19.010,24.703,-37.527,16.600,-3.840,0.962,23.683,-24.259,-11.735,-2.197,-12.057,11.320,-23.290,-18.413,16.958,19.028,-16.324
0.1484,-32.972,-1.054,21.141,25.251,-42.852,13.591,2.413,5.432,28.335,-26.305,-15.863,2.275,-11.794,5.932,-23.377,-13.491,14.798,24.783,-16.723
0.1523,-38.311,-3.184,20.621,27.497,-46.038,12.571,3.561,9.325,29.803,-22.319,-16.851,9.583,-9.405,6.428,-20.777,-12.548,13.334,25.140,-18.634
0.1562,-42.951,-4.668,25.374,28.113,-46.372,11.561,7.687,12.046,34.351,-19.726,-20.458,14.718,-10.961,4.436,-12.242,-5.344,10.332,21.261,-15.391
0.1602,-43.679,-6.404,25.264,26.380,-46.057,7.399,8.384,17.749,33.748,-12.075,-21.093,17.967,-8.964,4.264,-6.340,-0.235,3.861,16.139,-13.348
0.1641,-45.823,-4.380,26.758,25.800,-42.395,5.632,6.493,21.563,31.428,-4.245,-20.204,25.756,-11.048,1.209,2.647,5.596,-2.593,7.279,-11.865
0.1680,-46.963,-6.143,23.298,21.413,-36.225,2.164,7.262,19.214,24.464,2.109,-16.251,29.019,-7.635,-4.483,10.360,8.072,-11.008,3.970,-10.159
0.1719,-46.135,-3.516,19.918,18.242,-29.843,0.192,10.506,15.928,15.217,8.124,-13.988,28.380,-3.654,-9.995,13.068,10.174,-17.089,3.197,-8.825
0.1758,-40.242,-3.031,17.954,14.326,-24.332,0.628,8.855,7.582,5.836,13.849,-9.353,25.060,3.352,-13.383,13.544,12.785,-20.030,-1.266,-8.002
0.1797,-34.299,-4.048,16.425,9.982,-19.806,3.129,10.542,-1.890,0.621,17.152,-3.439,24.077,4.489,-13.140,17.094,14.918,-23.434,-4.968,-3.220
0.1836,-21.909,-4.626,18.185,7.325,-14.290,3.258,10.982,-7.978,-4.697,23.460,5.584,19.716,7.693,-11.074,16.069,15.799,-28.369,-10.892,0.630
0.1875,-9.911,-6.614,13.606,2.651,-10.609,-4.909,9.293,-12.108,-8.583,25.838,16.821,11.042,9.739,-8.973,13.181,16.804,-33.645,-18.863,6.231
0.1914,1.075,-9.742,11.155,-0.731,-2.832,-11.099,5.925,-16.659,-12.569,32.811,26.050,6.030,8.807,-8.006,15.423,14.954,-35.209,-22.148,5.207
0.1953,5.229,-9.274,6.885,-1.811,4.995,-18.061,4.705,-24.079,-13.094,36.229,32.864,-0.199,11.248,-8.369,12.919,7.745,-37.011,-22.810,2.987
0.1992,12.218,-5.797,-0.047,-7.624,9.736,-22.110,3.150,-26.778,-14.869,36.505,39.277,-11.374,11.086,-6.569,12.137,1.533,-31.346,-20.663,-0.845
0.2031,15.715,-3.179,-4.052,-8.356,15.563,-21.978,1.306,-32.163,-13.469,31.578,35.863,-17.366,10.825,-0.833,11.542,-4.599,-25.138,-22.509,-4.543
0.2070,23.887,-4.087,-5.392,-11.897,16.707,-18.519,3.808,-30.749,-9.635,29.359,31.330,-29.426,9.253,6.055,12.742,-12.775,-20.435,-18.503,-4.813
0.2109,30.450,-0.535,-7.681,-12.283,19.715,-20.075,6.323,-31.913,-7.045,22.434,26.796,-34.515,8.688,10.821,9.700,-16.144,-13.082,-18.359,-7.028
0.2148,35.213,2.671,-12.060,-12.877,20.444,-19.602,7.090,-28.836,-2.469,16.015,21.946,-38.533,9.318,16.414,5.542,-19.969,-8.957,-14.336,-7.575
0.2188,36.439,9.558,-15.168,-11.650,18.798,-16.219,7.137,-24.759,0.389,7.123,18.446,-37.768,7.687,18.379,-1.210,-23.611,-0.243,-10.575,-8.340
0.2227,31.176,16.685,-15.413,-12.035,14.697,-14.147,5.614,-22.293,5.721,-0.484,13.519,-33.659,7.908,17.383,-3.493,-26.202,7.279,-8.227,-13.218
0.2266,28.413,18.520,-8.823,-8.583,9.934,-12.239,5.290,-15.622,13.911,-7.280,6.658,-28.072,8.029,19.749,-2.697,-29.167,12.171,-3.813,-13.872
0.2305,20.641,18.921,-4.551,-4.000,8.913,-7.786,9.993,-11.125,20.302,-13.714,0.285,-24.538,2.261,22.724,-2.169,-27.754,18.485,1.112,-15.479
0.2344,14.923,22.469,-0.464,1.597,6.022,-8.184,13.972,-2.878,23.870,-21.268,-11.578,-19.496,1.935,20.335,-1.199,-22.694,22.732,6.529,-15.800
0.2383,7.623,23.935,0.244,1.436,3.180,-4.075,16.523,1.518,28.237,-25.979,-20.758,-14.739,-2.821,21.523,-1.081,-14.512,22.423,13.292,-18.492
0.2422,2.428,26.454,-5.126,-0.720,3.185,-0.448,18.117,6.069,31.183,-29.326,-25.574,-6.521,-0.521,19.876,0.457,-10.144,20.950,14.885,-21.616
0.2461,-6.489,29.176,-9.413,-4.103,3.011,5.617,21.091,8.673,31.534,-30.329,-31.499,3.651,-1.188,15.249,3.139,-4.656,21.608,13.547,-22.625
0.2500,-11.529,31.464,-10.097,-2.737,0.124,6.088,19.061,13.307,30.581,-27.335,-36.018,14.413,-1.623,11.397,4.052,3.727,23.781,12.537,-24.605
0.2539,-14.922,28.559,-5.440,-3.705,1.996,9.613,19.299,20.223,28.336,-25.228,-39.148,24.058,-2.526,11.684,5.096,9.793,19.649,10.289,-25.804
0.2578,-17.840,25.448,-0.248,3.531,3.133,8.996,15.506,24.291,24.116,-15.489,-39.192,33.375,1.166,9.050,3.689,17.858,10.215,11.661,-28.691
0.2617,-21.961,29.584,-0.818,6.233,6.702,12.115,10.178,24.089,16.219,-7.894,-37.433,38.328,1.421,7.738,5.215,23.838,5.369,10.478,-25.994
0.2656,-20.436,30.573,-1.462,11.173,9.349,13.273,9.024,19.919,15.154,-2.510,-36.738,42.666,3.231,1.355,5.820,28.437,-1.092,11.373,-24.846
0.2695,-21.009,29.487,-7.087,7.830,9.538,13.560,4.806,16.548,12.395,6.660,-33.644,42.540,3.644,-0.653,9.502,29.237,-4.109,5.568,-23.903
0.2734,-19.333,29.107,-9.136,4.558,11.472,17.521,1.239,12.901,9.959,11.392,-24.866,39.657,2.517,-10.436,8.152,27.173,-6.209,3.148,-19.795
0.2773,-13.086,20.219,-12.668,2.936,16.068,16.413,2.309,9.886,4.147,20.158,-15.493,37.797,-0.095,-15.219,6.711,22.929,-8.835,-5.449,-12.294
0.2812,-8.260,13.911,-10.395,1.206,20.710,10.458,2.567,4.112,2.620,29.272,-4.184,34.645,1.506,-19.443,4.056,21.061,-16.372,-7.688,-4.588
0.2852,-4.920,10.576,-9.213,1.963,20.999,7.981,-1.043,0.767,-3.082,33.926,3.126,32.469,1.941,-18.145,-0.112,17.855,-19.816,-13.454,2.159
0.2891,-1.377,8.877,-8.557,1.867,24.891,6.844,-3.816,-6.955,-9.544,38.652,11.697,29.908,4.355,-15.348,-0.657,12.999,-25.147,-13.514,6.150
0.2930,1.518,8.071,-6.809,1.395,24.509,6.897,-4.529,-10.125,-14.346,43.039,19.493,24.472,6.526,-14.755,0.090,8.033,-25.560,-14.848,10.107
0.2969,3.971,8.235,-7.606,0.189,19.526,6.637,-8.189,-12.977,-13.802,42.833,20.748,17.056,5.535,-7.446,-1.842,-0.800,-23.707,-18.131,10.694
0.3008,6.801,2.509,-4.803,1.238,16.313,1.886,-6.660,-14.355,-12.573,39.015,26.756,7.656,3.965,-6.134,-7.126,-10.269,-20.442,-23.725,13.677
0.3047,8.375,-0.347,-2.456,8.751,14.280,0.870,-7.696,-14.515,-11.536,33.525,29.900,0.398,-0.586,-4.901,-13.433,-19.453,-18.155,-24.889,16.733
0.3086,6.152,-3.258,0.326,17.564,9.176,-3.678,-5.497,-17.138,-10.769,31.820,31.597,-11.781,-2.669,-4.592,-19.839,-28.706,-18.920,-23.264,20.652
0.3125,3.527,-5.954,-3.329,22.518,5.072,-4.855,-6.790,-18.994,-6.302,23.875,28.968,-15.643,-1.237,-5.451,-19.307,-37.577,-15.781,-18.634,21.117
0.3164,0.812,-3.688,-4.216,25.890,1.899,-4.119,-6.891,-18.065,-4.939,14.348,26.369,-17.558,1.464,-9.900,-17.894,-37.922,-10.482,-12.816,20.806
0.3203,-1.289,-9.155,-4.700,23.343,-1.569,-3.611,-2.607,-15.143,-1.002,6.878,18.691,-18.640,4.797,-11.384,-13.490,-39.560,-1.074,-6.321,23.737
0.3242,-2.077,-13.117,-6.020,22.015,-5.154,-4.485,-2.888,-10.983,0.423,-5.047,15.141,-15.365,5.621,-10.020,-9.650,-34.961,3.598,-4.922,20.499
0.3281,-1.348,-16.334,0.330,21.962,-12.088,-1.982,-0.097,-7.106,3.722,-16.491,9.453,-11.340,4.389,-7.860,-6.993,-28.710,7.499,-2.198,17.795
0.3320,-3.430,-17.658,1.730,20.473,-18.084,-0.936,0.583,-4.114,4.630,-27.317,7.796,-11.471,6.242,-9.503,-8.211,-27.303,10.724,0.540,9.523
0.3359,-3.380,-17.599,6.045,19.737,-20.711,-0.008,-0.780,1.442,11.815,-38.846,0.313,-7.331,5.496,-11.429,-2.568,-20.460,13.722,4.240,4.300
0.3398,-2.243,-15.895,5.632,16.984,-25.653,1.763,-0.918,9.312,13.970,-43.983,-6.823,-6.399,8.132,-12.459,2.568,-17.196,16.757,7.164,0.378
0.3438,-0.124,-15.365,7.884,11.088,-25.190,6.625,-2.925,14.413,16.468,-48.387,-12.830,-1.299,8.050,-16.566,7.852,-13.372,17.498,10.361,-4.568
0.3477,-0.831,-14.029,8.392,6.418,-22.510,5.713,-0.516,20.788,13.411,-48.838,-20.121,1.807,9.281,-17.604,17.647,-3.137,15.209,12.277,-6.870
0.3516,-1.647,-9.815,10.309,3.643,-23.232,7.947,-3.259,19.020,9.493,-45.279,-22.237,11.960,6.474,-18.198,21.490,3.857,16.173,13.834,-7.949
0.3555,0.051,-2.710,10.698,1.946,-18.835,8.008,-6.895,15.927,5.305,-43.048,-25.016,17.424,7.313,-15.203,26.600,11.561,9.719,15.816,-10.299
0.3594,1.354,2.516,13.100,-0.229,-17.549,12.713,-13.554,13.780,4.119,-35.958,-22.878,18.291,7.976,-16.592,30.959,20.496,5.048,14.186,-12.248
0.3633,2.583,8.392,9.861,-5.903,-16.184,13.626,-16.232,10.932,5.781,-29.989,-21.555,23.498,14.671,-13.954,34.047,24.383,-6.004,13.638,-14.679
0.3672,5.101,9.120,9.472,-10.724,-12.397,17.122,-15.152,10.775,4.236,-23.814,-18.202,24.380,17.071,-15.301,34.067,23.449,-11.067,8.948,-14.541
0.3711,9.505,7.646,10.860,-20.297,-8.119,17.509,-8.588,9.034,7.725,-16.797,-16.146,23.045,14.904,-12.281,33.783,21.233,-17.668,6.833,-12.703
0.3750,15.422,7.629,11.811,-24.324,-0.474,15.880,-9.726,6.755,3.458,-2.967,-10.901,24.640,14.115,-11.294,35.256,18.725,-23.442,4.269,-8.399
0.3789,17.213,9.881,15.483,-27.583,3.811,15.802,-6.663,-1.471,1.925,8.389,-3.475,20.831,7.803,-8.106,30.587,15.867,-29.981,-0.572,-8.115
0.3828,18.366,13.869,11.982,-25.279,6.620,14.713,-12.871,-7.687,-3.734,16.945,1.759,17.106,6.625,-3.918,21.412,15.649,-32.661,-3.093,-7.984
0.3867,19.886,13.101,8.948,-25.654,8.224,17.306,-12.972,-15.316,-4.639,24.929,7.412,10.372,4.691,-1.430,17.838,13.656,-32.198,-7.474,-4.140
0.3906,22.044,11.927,4.702,-27.148,11.303,20.421,-13.925,-24.127,-2.019,27.984,12.899,1.702,5.558,2.322,12.368,12.070,-34.350,-9.416,-0.039
0.3945,22.450,9.112,5.577,-26.468,12.257,16.791,-8.926,-29.294,-0.905,27.715,17.980,-5.158,-1.062,3.023,6.105,6.668,-33.355,-12.965,7.448
0.3984,21.486,11.566,4.039,-25.825,12.140,13.528,-4.487,-34.241,-2.505,28.319,18.295,-7.322,-4.556,5.273,3.125,-0.885,-29.870,-12.174,10.519
0.4023,21.440,10.256,8.341,-22.222,14.298,5.438,1.631,-34.886,-4.057,29.640,18.776,-8.894,-11.646,8.925,-0.032,-10.658,-26.363,-8.333,16.345
0.4062,14.151,10.554,9.728,-12.437,14.404,2.527,8.450,-33.329,-7.297,32.237,17.634,-10.642,-13.600,14.456,-4.675,-17.855,-21.586,-7.931,15.783
0.4102,8.912,9.626,8.446,-4.734,11.230,-2.524,11.956,-33.820,-7.710,28.711,15.259,-15.590,-11.994,18.033,-7.060,-23.401,-15.718,-9.076,10.844
0.4141,3.969,5.363,7.195,7.257,6.513,-8.370,16.443,-32.621,-10.626,21.814,8.618,-19.961,-8.245,18.480,-9.045,-26.877,-8.646,-9.577,9.435
0.4180,1.271,0.660,5.109,16.151,3.816,-10.561,17.275,-35.527,-8.911,16.264,1.325,-20.531,-6.920,20.431,-15.621,-25.252,1.941,-11.891,10.437
0.4219,-0.659,-0.303,5.636,25.511,-2.300,-10.306,15.892,-37.052,-5.528,6.555,-7.613,-23.702,-8.145,19.474,-16.814,-26.018,9.904,-12.094,8.958
0.4258,-5.913,-1.676,0.471,30.581,-4.189,-13.377,15.165,-34.501,-0.432,0.709,-13.547,-18.356,-9.277,18.647,-20.986,-20.384,16.028,-9.571,8.921
0.4297,-7.968,-2.604,-0.230,33.734,-6.977,-17.485,11.923,-28.991,5.685,-8.820,-19.404,-8.691,-14.317,19.978,-17.966,-18.812,20.253,-5.937,1.641
0.4336,-10.550,-5.317,-2.303,36.331,-10.866,-23.006,13.949,-24.611,12.321,-14.319,-23.672,0.475,-11.934,18.661,-13.187,-13.065,25.048,-0.313,-2.213
0.4375,-12.979,-5.355,-7.757,35.495,-12.790,-26.327,15.928,-16.376,14.225,-20.476,-28.487,7.884,-9.688,17.596,-8.117,-7.154,31.252,-2.066,-9.056
0.4414,-9.079,-7.567,-9.833,33.398,-13.427,-29.091,17.553,-12.699,13.861,-23.656,-33.359,13.882,-5.311,15.376,-6.524,2.120,37.608,-0.916,-11.063
0.4453,-4.290,-3.393,-8.484,28.868,-12.799,-34.013,16.331,-5.447,11.317,-23.206,-40.289,14.453,-2.339,8.399,-6.202,5.328,42.002,-1.006,-16.537
0.4492,-0.051,1.631,-14.241,29.473,-13.151,-36.466,10.047,0.075,10.763,-19.142,-42.161,20.386,-0.062,6.013,-3.237,11.531,45.953,0.083,-17.506
0.4531,4.325,9.121,-14.691,26.615,-7.449,-35.352,3.275,9.486,8.869,-19.141,-43.624,21.458,-4.395,0.571,-2.507,15.528,45.965,0.176,-21.717
0.4570,8.842,11.397,-18.600,24.774,-7.638,-32.432,-0.079,18.936,9.816,-14.173,-43.198,23.579,-2.891,-2.935,3.004,21.365,43.387,-0.201,-26.251
0.4609,13.870,11.104,-17.611,21.710,-4.462,-29.071,-6.127,22.564,11.258,-12.547,-35.506,27.416,-0.222,-7.011,1.294,22.821,39.729,0.701,-25.633
0.4648,18.708,9.101,-15.765,16.062,-5.209,-25.550,-5.822,24.837,13.443,-9.576,-28.107,29.150,2.160,-5.225,2.517,27.883,33.902,-4.952,-26.334
0.4688,20.285,6.730,-14.436,5.905,-2.959,-19.335,-6.322,28.241,11.970,-2.273,-18.926,28.922,7.519,-8.891,-0.274,24.466,32.080,-6.815,-24.865
0.4727,23.521,11.966,-14.159,-1.530,0.210,-16.720,-9.686,33.317,12.057,3.171,-8.900,25.040,6.769,-11.045,-3.216,21.876,26.633,-3.774,-19.612
0.4766,25.125,14.187,-11.795,-8.024,6.314,-14.553,-12.727,34.822,9.516,5.627,-2.922,20.674,6.450,-13.344,-0.578,20.162,18.331,-1.755,-15.408
0.4805,25.114,14.910,-14.455,-17.024,8.266,-10.779,-12.803,35.590,10.087,7.310,2.536,19.951,6.883,-13.611,1.074,14.233,10.897,5.110,-9.493
0.4844,27.291,10.264,-12.893,-23.738,12.041,-7.116,-12.945,31.282,10.221,8.600,6.327,18.555,3.196,-17.042,-2.179,8.562,3.068,7.943,-2.019
0.4883,27.048,7.892,-7.562,-25.598,15.813,-3.643,-11.553,26.161,6.599,5.216,13.940,14.842,0.432,-16.592,-9.645,8.010,-3.706,11.362,9.114
0.4922,25.661,3.816,-5.913,-28.150,15.295,-2.865,-7.629,22.000,3.882,6.089,24.449,11.476,-5.480,-15.064,-18.541,3.805,-9.741,12.924,16.314
0.4961,21.905,3.780,-3.366,-27.965,13.664,-0.316,-6.662,21.949,0.022,3.789,28.571,8.279,-9.690,-14.461,-25.568,2.490,-15.268,15.174,22.421
0.5000,14.577,5.470,0.172,-25.067,9.951,2.288,-1.918,19.579,-2.965,1.348,30.937,1.496,-17.981,-12.198,-28.345,-0.554,-16.145,14.037,26.533
0.5039,5.062,3.810,-0.714,-23.025,6.996,-3.164,-0.525,18.325,-1.208,0.121,32.429,-1.969,-23.587,-11.194,-29.293,-2.689,-19.539,17.450,28.503
0.5078,-4.672,-0.987,2.078,-21.690,0.833,-3.061,3.681,11.059,-5.300,-4.703,29.938,-9.275,-21.892,-7.012,-22.123,-3.500,-23.645,16.689,30.419
0.5117,-10.636,-4.278,7.245,-22.879,-0.807,-4.410,9.117,1.330,-7.644,-10.496,28.191,-11.675,-19.717,-5.242,-17.962,-5.714,-22.476,16.142,34.672
0.5156,-18.925,-7.388,9.029,-19.490,-3.027,-0.690,8.719,-10.876,-10.735,-16.195,28.877,-14.112,-20.737,-3.208,-14.723,-4.156,-23.933,14.550,35.205
0.5195,-24.533,-9.233,12.927,-12.962,-3.167,3.822,2.725,-15.789,-13.455,-21.672,24.033,-13.939,-17.544,-1.371,-8.282,-1.665,-18.720,14.520,34.990
0.5234,-28.489,-7.913,9.970,-9.429,-2.462,4.083,-3.417,-19.485,-15.020,-28.657,20.435,-14.583,-20.612,0.902,-6.618,-2.025,-18.083,15.307,30.919
0.5273,-32.972,-8.967,9.274,-3.091,-5.642,6.704,-6.953,-22.130,-16.696,-31.663,12.999,-13.716,-21.462,-0.173,0.043,5.173,-19.161,11.382,29.300
0.5312,-33.063,-7.042,11.807,-0.421,-7.585,6.577,-5.669,-23.238,-13.652,-37.779,8.289,-14.829,-20.388,0.254,8.075,10.956,-17.925,7.604,23.412
0.5352,-34.855,-5.391,11.757,1.309,-8.866,7.895,-5.869,-24.358,-10.199,-40.637,1.885,-13.004,-17.990,3.920,15.863,19.710,-16.197,2.026,19.329
0.5391,-31.165,-2.302,15.899,4.976,-11.149,10.209,-4.150,-25.247,-8.660,-39.441,-0.117,-13.273,-15.978,5.879,25.682,22.334,-10.947,-2.679,14.870
0.5430,-26.116,0.681,15.772,6.561,-6.084,11.882,-3.134,-24.984,-9.574,-40.684,-3.051,-10.621,-13.498,5.612,31.981,26.886,-11.639,-5.972,2.216
0.5469,-22.091,1.329,16.163,10.516,-1.852,15.383,-5.979,-21.393,-8.672,-35.854,-4.740,-8.021,-9.703,10.657,39.585,24.700,-6.347,-10.632,-6.714
0.5508,-14.546,0.877,10.243,11.309,0.686,16.152,-13.678,-20.061,-8.568,-31.019,-8.521,-4.800,-7.302,11.278,45.897,25.728,-3.704,-16.933,-17.210
0.5547,-9.887,0.504,9.054,7.547,6.123,16.572,-20.786,-16.653,-8.171,-24.240,-12.670,-4.058,-6.043,10.854,47.011,26.953,-1.541,-21.879,-27.327
0.5586,-1.688,1.647,11.284,-0.473,6.017,16.195,-24.075,-17.256,-11.135,-14.256,-15.082,-1.430,-2.630,11.866,44.911,25.173,2.146,-27.401,-28.087
0.5625,6.459,0.548,17.497,-5.096,3.263,19.185,-27.638,-16.806,-10.774,-0.940,-12.656,2.235,-1.000,10.706,40.424,20.797,6.524,-26.070,-30.292
0.5664,13.294,1.254,19.611,-11.191,2.841,19.476,-29.454,-13.020,-6.785,8.111,-15.679,2.215,3.277,11.962,38.754,14.200,10.978,-23.665,-33.859
0.5703,18.837,1.996,21.623,-10.132,5.706,18.719,-24.933,-7.715,-5.353,16.497,-13.448,-1.271,6.954,8.456,33.274,8.874,9.091,-18.948,-34.248
0.5742,20.820,1.105,22.545,-7.039,8.273,17.318,-21.555,-4.337,0.053,24.770,-14.042,-5.843,5.546,7.189,30.080,0.149,9.570,-15.704,-33.346
0.5781,24.288,3.807,22.031,-6.771,9.245,9.598,-14.421,3.504,3.074,27.565,-12.312,-8.431,6.403,5.453,21.016,-6.691,11.444,-14.564,-28.247
0.5820,25.463,3.285,25.520,-7.193,13.656,7.257,-8.988,7.886,2.379,32.023,-5.375,-7.485,10.259,6.442,12.706,-15.190,9.114,-13.914,-18.206
0.5859,23.858,4.170,28.548,-10.329,12.376,9.512,-5.745,13.477,1.198,35.149,-2.397,-7.090,7.767,5.154,5.647,-19.857,9.393,-7.330,-13.140
0.5898,20.885,6.227,32.334,-12.194,5.858,7.712,-3.416,17.043,1.464,37.216,1.098,-6.249,4.632,5.559,0.047,-22.243,10.945,-2.715,-4.865
0.5938,13.371,3.791,34.338,-12.307,2.283,7.175,-0.529,19.739,0.481,41.191,2.773,-5.907,1.219,5.338,-3.115,-27.204,8.723,2.088,-0.080
